Academic_Workload,Financial_Concerns,Relationship,Family_Responsibilities,Assignment_Deadline,Health_Concerns,Medical_Illnesses,Perceived_Stress,Presence_of_Stress
3,1,3,1,2,2,1,4,2
3,1,3,1,3,2,1,4,2
3,1,1,1,3,1,1,4,2
3,3,3,3,1,3,1,2,1
2,3,1,3,2,2,1,2,1
3,2,3,2,2,2,1,4,2
2,2,2,2,2,2,1,4,2
3,3,3,3,3,3,1,1,1
3,2,2,2,3,3,1,2,1
1,1,2,1,3,1,2,4,2
2,2,2,3,3,2,1,2,1
1,1,3,1,1,3,1,1,1
3,2,3,2,1,1,1,2,1
1,1,3,1,1,2,1,4,2
3,1,2,1,3,2,1,4,2
1,1,2,1,1,2,1,1,1
3,1,3,3,1,3,1,2,1
3,1,1,1,1,1,1,4,2
3,2,1,3,3,3,1,2,1
3,1,3,1,3,1,2,2,1
2,3,1,3,2,3,1,4,2
3,1,1,1,3,3,2,4,2
1,1,1,1,3,3,2,4,2
1,1,1,1,3,3,1,4,2
3,2,2,3,3,2,1,4,2
1,1,3,1,3,1,2,4,2
3,3,1,3,3,3,1,4,2
3,2,2,3,3,2,1,4,2
3,3,3,3,2,3,1,4,2
1,3,3,1,1,3,1,4,2
1,2,3,2,3,1,2,4,2
2,3,1,1,3,1,1,4,2
3,1,1,3,1,3,2,4,2
2,3,3,2,2,3,1,3,1
3,3,3,3,3,3,1,4,2
2,3,1,3,2,2,1,4,2
3,1,2,1,3,2,1,2,1
3,1,1,1,3,2,1,1,1
3,3,1,1,3,3,1,4,2
3,3,2,2,3,2,1,4,2
2,1,3,3,3,1,1,4,2
3,3,1,3,1,3,1,4,2
1,3,1,3,1,3,1,4,2
3,2,3,3,2,2,1,4,2
2,2,3,3,1,3,1,4,2
1,2,1,2,1,3,1,2,1
1,1,1,2,3,2,1,4,2
3,1,1,1,3,3,1,2,1
3,1,1,1,1,1,2,4,2
2,3,3,3,2,3,2,4,2
3,3,1,1,1,3,1,4,2
3,2,3,2,3,2,1,4,2
3,3,3,2,3,2,1,4,2
3,1,3,1,3,2,1,1,1
2,2,2,2,3,2,1,4,2
2,2,3,2,3,3,1,4,2
3,3,1,3,1,2,1,4,2
1,1,1,1,1,2,1,4,2
3,3,2,1,2,3,1,4,2
3,3,1,3,2,2,1,2,1
1,1,3,2,1,2,1,2,1
2,2,3,2,2,2,1,2,1
1,3,1,2,1,2,1,2,1
3,1,1,1,3,2,1,2,1
2,2,3,2,2,2,1,4,2
2,3,3,2,2,2,1,4,2
3,1,3,3,3,2,1,1,1
2,2,1,2,2,2,1,4,2
2,2,3,3,2,3,2,4,2
2,1,2,1,2,2,1,2,1
2,3,3,3,2,2,1,2,1
1,1,1,1,1,2,1,4,2
2,3,3,3,2,2,1,4,2
2,3,1,1,2,3,1,4,2
3,3,3,3,3,2,1,4,2
2,2,3,3,3,2,1,4,2
3,3,2,3,3,2,1,4,2
1,1,3,1,1,2,1,4,2
3,1,1,1,2,3,2,2,1
2,3,3,3,3,2,1,2,1
2,3,1,3,2,2,1,2,1
2,1,3,1,2,2,1,2,1
3,1,1,3,3,2,1,4,2
3,3,3,2,3,2,1,4,2
3,2,3,2,3,2,1,2,1
2,3,3,2,3,2,1,4,2
3,3,3,3,3,3,1,4,2
2,3,3,2,2,2,1,4,2
2,1,2,1,2,2,1,4,2
2,2,1,3,2,2,1,4,2
2,3,3,3,3,2,1,4,2
3,3,3,3,3,3,1,4,2
1,1,1,1,1,3,1,4,2
3,3,1,3,3,3,1,4,2
3,3,3,3,3,3,1,2,1
2,1,3,2,3,3,1,4,2
3,1,3,3,3,1,1,4,2
1,1,1,1,2,3,2,4,2
3,1,2,3,3,1,1,4,2
1,3,3,2,1,3,1,4,2
3,3,3,1,3,3,1,4,2
3,3,1,3,2,2,1,4,2
3,3,2,3,1,3,1,4,2
1,1,2,2,3,3,1,2,1
3,1,3,1,2,3,1,4,2
3,3,3,3,3,3,1,4,2
3,3,3,1,3,3,2,4,2
2,3,1,3,3,3,2,4,2
3,3,3,1,3,3,1,4,2
1,1,3,2,1,3,2,4,2
3,2,1,3,2,3,2,4,2
3,1,1,1,1,2,2,4,2
2,2,2,2,2,2,1,4,2
3,3,3,3,3,3,1,4,2
3,3,3,1,1,3,1,4,2
3,1,1,3,2,3,1,4,2
3,2,1,2,3,1,1,4,2
3,3,3,3,1,2,1,4,2
2,2,2,2,2,2,1,4,2
1,2,2,2,1,3,1,4,2
3,1,3,1,1,3,1,4,2
2,3,1,1,2,2,1,4,2
1,3,3,2,1,1,2,4,2
1,1,1,2,3,2,1,4,2
1,2,2,2,1,1,2,4,2
1,1,1,1,3,2,2,4,2
1,1,1,1,2,2,1,4,2
3,2,2,3,3,1,2,4,2
1,1,2,2,1,2,1,4,2
1,2,2,2,3,2,1,2,1
3,3,2,1,3,2,1,4,2
3,3,3,1,3,2,1,2,1
1,3,2,1,3,2,1,1,1
1,1,2,1,3,2,1,1,1
1,1,3,1,2,2,1,4,2
2,2,2,2,2,1,1,4,2
2,1,2,3,2,2,1,2,1
3,3,3,3,3,1,1,4,2
2,1,1,1,2,2,1,4,2
2,1,3,3,2,2,1,4,2
1,2,2,2,2,2,1,4,2
2,2,2,2,2,2,1,2,1
1,2,3,2,2,2,1,4,2
1,2,2,2,1,1,1,1,1
1,1,1,2,2,2,1,2,1
2,3,1,1,2,2,1,4,2
1,3,2,2,2,2,1,4,2
2,3,2,1,2,2,1,4,2
1,1,2,2,3,2,1,2,1
1,2,3,2,3,2,1,4,2
2,1,2,3,2,2,1,4,2
2,3,3,1,2,2,1,2,1
1,1,2,1,2,2,1,4,2
3,1,2,1,2,2,1,4,2
2,2,2,1,2,2,1,4,2
2,2,3,1,2,2,1,4,2
1,1,3,1,2,1,2,4,2
2,2,2,2,2,1,1,4,2
2,3,3,3,2,1,1,4,2
1,2,3,2,2,2,1,4,2
2,2,2,2,2,2,1,4,2
1,1,3,2,2,2,1,2,1
1,2,2,2,2,2,1,1,1
2,2,3,1,2,3,2,4,2
2,2,1,2,2,2,1,2,1
1,3,3,2,2,2,1,4,2
